Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Quebec,Canada,52.9399,-73.5491,2020-01-22,0.0,0.0,Canada / Quebec,,,,
Quebec,Canada,52.9399,-73.5491,2020-01-23,0.0,0.0,Canada / Quebec,0.0,0.0,,
Quebec,Canada,52.9399,-73.5491,2020-01-24,0.0,0.0,Canada / Quebec,0.0,0.0,,
Quebec,Canada,52.9399,-73.5491,2020-01-25,0.0,0.0,Canada / Quebec,0.0,0.0,,
Quebec,Canada,52.9399,-73.5491,2020-01-26,0.0,0.0,Canada / Quebec,0.0,0.0,,
Quebec,Canada,52.9399,-73.5491,2020-01-27,0.0,0.0,Canada / Quebec,0.0,0.0,,
Quebec,Canada,52.9399,-73.5491,2020-01-28,0.0,0.0,Canada / Quebec,0.0,0.0,,
Quebec,Canada,52.9399,-73.5491,2020-01-29,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-01-30,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-01-31,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-01,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-02,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-03,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-04,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-05,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-06,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-07,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-08,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-09,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-10,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-11,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-12,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-13,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-14,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-15,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-16,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-17,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-18,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-19,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-20,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-21,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-22,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-23,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-24,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-25,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-26,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-27,0.0,0.0,Canada / Quebec,0.0,0.0,0.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-28,1.0,0.0,Canada / Quebec,1.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-02-29,1.0,0.0,Canada / Quebec,0.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-01,1.0,0.0,Canada / Quebec,0.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-02,1.0,0.0,Canada / Quebec,0.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-03,1.0,0.0,Canada / Quebec,0.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-04,1.0,0.0,Canada / Quebec,0.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-05,2.0,0.0,Canada / Quebec,1.0,0.0,0.2857142857142857,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-06,2.0,0.0,Canada / Quebec,0.0,0.0,0.14285714285714285,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-07,3.0,0.0,Canada / Quebec,1.0,0.0,0.2857142857142857,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-08,4.0,0.0,Canada / Quebec,1.0,0.0,0.42857142857142855,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-09,4.0,0.0,Canada / Quebec,0.0,0.0,0.42857142857142855,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-10,4.0,0.0,Canada / Quebec,0.0,0.0,0.42857142857142855,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-11,8.0,0.0,Canada / Quebec,4.0,0.0,1.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-12,9.0,0.0,Canada / Quebec,1.0,0.0,1.0,0.0
Quebec,Canada,52.9399,-73.5491,2020-03-13,17.0,0.0,Canada / Quebec,8.0,0.0,2.142857142857143,0.0
