Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Bhutan,27.5142,90.4336,2020-02-22,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-23,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-24,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-25,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-26,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-27,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-28,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-02-29,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-01,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-02,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-03,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-04,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-05,0.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-06,1.0,0.0,Bhutan / ,1.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-07,1.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-08,1.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-09,1.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-10,1.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-11,1.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-12,1.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-13,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-14,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-15,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-16,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-17,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-18,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-19,1.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-03-20,2.0,0.0,Bhutan / ,1.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-21,2.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-22,2.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-23,2.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-24,2.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-25,2.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-26,2.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-27,3.0,0.0,Bhutan / ,1.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-28,3.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-03-29,4.0,0.0,Bhutan / ,1.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-03-30,4.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-03-31,4.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-01,4.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-02,5.0,0.0,Bhutan / ,1.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-04-03,5.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-04,5.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-05,5.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-06,5.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-07,5.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-08,5.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-09,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-10,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-11,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-12,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-13,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-14,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-15,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-16,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-17,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-18,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-19,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-20,5.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-04-21,6.0,0.0,Bhutan / ,1.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-22,6.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-23,7.0,0.0,Bhutan / ,1.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-24,7.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-25,7.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-26,7.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-27,7.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-04-28,7.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-29,7.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-04-30,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-01,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-02,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-03,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-04,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-05,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-06,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-07,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-08,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-09,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-10,7.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-11,9.0,0.0,Bhutan / ,2.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-05-12,11.0,0.0,Bhutan / ,2.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-05-13,15.0,0.0,Bhutan / ,4.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-05-14,20.0,0.0,Bhutan / ,5.0,0.0,1.8571428571428572,0.0
,Bhutan,27.5142,90.4336,2020-05-15,21.0,0.0,Bhutan / ,1.0,0.0,2.0,0.0
,Bhutan,27.5142,90.4336,2020-05-16,21.0,0.0,Bhutan / ,0.0,0.0,2.0,0.0
,Bhutan,27.5142,90.4336,2020-05-17,21.0,0.0,Bhutan / ,0.0,0.0,2.0,0.0
,Bhutan,27.5142,90.4336,2020-05-18,21.0,0.0,Bhutan / ,0.0,0.0,1.7142857142857142,0.0
,Bhutan,27.5142,90.4336,2020-05-19,21.0,0.0,Bhutan / ,0.0,0.0,1.4285714285714286,0.0
,Bhutan,27.5142,90.4336,2020-05-20,21.0,0.0,Bhutan / ,0.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-05-21,21.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-05-22,21.0,0.0,Bhutan / ,0.0,0.0,0.0,0.0
,Bhutan,27.5142,90.4336,2020-05-23,24.0,0.0,Bhutan / ,3.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-05-24,24.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-05-25,27.0,0.0,Bhutan / ,3.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-05-26,27.0,0.0,Bhutan / ,0.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-05-27,28.0,0.0,Bhutan / ,1.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-05-28,31.0,0.0,Bhutan / ,3.0,0.0,1.4285714285714286,0.0
,Bhutan,27.5142,90.4336,2020-05-29,31.0,0.0,Bhutan / ,0.0,0.0,1.4285714285714286,0.0
,Bhutan,27.5142,90.4336,2020-05-30,33.0,0.0,Bhutan / ,2.0,0.0,1.2857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-05-31,43.0,0.0,Bhutan / ,10.0,0.0,2.7142857142857144,0.0
,Bhutan,27.5142,90.4336,2020-06-01,43.0,0.0,Bhutan / ,0.0,0.0,2.2857142857142856,0.0
,Bhutan,27.5142,90.4336,2020-06-02,47.0,0.0,Bhutan / ,4.0,0.0,2.857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-06-03,47.0,0.0,Bhutan / ,0.0,0.0,2.7142857142857144,0.0
,Bhutan,27.5142,90.4336,2020-06-04,47.0,0.0,Bhutan / ,0.0,0.0,2.2857142857142856,0.0
,Bhutan,27.5142,90.4336,2020-06-05,48.0,0.0,Bhutan / ,1.0,0.0,2.4285714285714284,0.0
,Bhutan,27.5142,90.4336,2020-06-06,48.0,0.0,Bhutan / ,0.0,0.0,2.142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-06-07,59.0,0.0,Bhutan / ,11.0,0.0,2.2857142857142856,0.0
,Bhutan,27.5142,90.4336,2020-06-08,59.0,0.0,Bhutan / ,0.0,0.0,2.2857142857142856,0.0
,Bhutan,27.5142,90.4336,2020-06-09,59.0,0.0,Bhutan / ,0.0,0.0,1.7142857142857142,0.0
,Bhutan,27.5142,90.4336,2020-06-10,59.0,0.0,Bhutan / ,0.0,0.0,1.7142857142857142,0.0
,Bhutan,27.5142,90.4336,2020-06-11,62.0,0.0,Bhutan / ,3.0,0.0,2.142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-06-12,62.0,0.0,Bhutan / ,0.0,0.0,2.0,0.0
,Bhutan,27.5142,90.4336,2020-06-13,66.0,0.0,Bhutan / ,4.0,0.0,2.5714285714285716,0.0
,Bhutan,27.5142,90.4336,2020-06-14,66.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-06-15,67.0,0.0,Bhutan / ,1.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-06-16,67.0,0.0,Bhutan / ,0.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-06-17,67.0,0.0,Bhutan / ,0.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-06-18,67.0,0.0,Bhutan / ,0.0,0.0,0.7142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-06-19,68.0,0.0,Bhutan / ,1.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-06-20,68.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-06-21,68.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-06-22,68.0,0.0,Bhutan / ,0.0,0.0,0.14285714285714285,0.0
,Bhutan,27.5142,90.4336,2020-06-23,70.0,0.0,Bhutan / ,2.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-06-24,70.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-06-25,70.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-06-26,70.0,0.0,Bhutan / ,0.0,0.0,0.2857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-06-27,75.0,0.0,Bhutan / ,5.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-06-28,76.0,0.0,Bhutan / ,1.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-06-29,77.0,0.0,Bhutan / ,1.0,0.0,1.2857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-06-30,77.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-01,77.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-02,77.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-03,77.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-04,78.0,0.0,Bhutan / ,1.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-07-05,80.0,0.0,Bhutan / ,2.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-07-06,80.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-07-07,80.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-07-08,80.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-07-09,80.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-07-10,80.0,0.0,Bhutan / ,0.0,0.0,0.42857142857142855,0.0
,Bhutan,27.5142,90.4336,2020-07-11,82.0,0.0,Bhutan / ,2.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-07-12,84.0,0.0,Bhutan / ,2.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-07-13,84.0,0.0,Bhutan / ,0.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-07-14,84.0,0.0,Bhutan / ,0.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-07-15,84.0,0.0,Bhutan / ,0.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-07-16,86.0,0.0,Bhutan / ,2.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-07-17,87.0,0.0,Bhutan / ,1.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-18,87.0,0.0,Bhutan / ,0.0,0.0,0.7142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-07-19,89.0,0.0,Bhutan / ,2.0,0.0,0.7142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-07-20,90.0,0.0,Bhutan / ,1.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-07-21,92.0,0.0,Bhutan / ,2.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-07-22,92.0,0.0,Bhutan / ,0.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-07-23,92.0,0.0,Bhutan / ,0.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-07-24,92.0,0.0,Bhutan / ,0.0,0.0,0.7142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-07-25,92.0,0.0,Bhutan / ,0.0,0.0,0.7142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-07-26,95.0,0.0,Bhutan / ,3.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-07-27,99.0,0.0,Bhutan / ,4.0,0.0,1.2857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-07-28,99.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-29,99.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-07-30,101.0,0.0,Bhutan / ,2.0,0.0,1.2857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-07-31,101.0,0.0,Bhutan / ,0.0,0.0,1.2857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-08-01,102.0,0.0,Bhutan / ,1.0,0.0,1.4285714285714286,0.0
,Bhutan,27.5142,90.4336,2020-08-02,102.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-08-03,103.0,0.0,Bhutan / ,1.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-08-04,105.0,0.0,Bhutan / ,2.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-08-05,105.0,0.0,Bhutan / ,0.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-08-06,108.0,0.0,Bhutan / ,3.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-08-07,108.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-08-08,108.0,0.0,Bhutan / ,0.0,0.0,0.8571428571428571,0.0
,Bhutan,27.5142,90.4336,2020-08-09,110.0,0.0,Bhutan / ,2.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-08-10,110.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-08-11,113.0,0.0,Bhutan / ,3.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-08-12,113.0,0.0,Bhutan / ,0.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-08-13,128.0,0.0,Bhutan / ,15.0,0.0,2.857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-08-14,133.0,0.0,Bhutan / ,5.0,0.0,3.5714285714285716,0.0
,Bhutan,27.5142,90.4336,2020-08-15,133.0,0.0,Bhutan / ,0.0,0.0,3.5714285714285716,0.0
,Bhutan,27.5142,90.4336,2020-08-16,138.0,0.0,Bhutan / ,5.0,0.0,4.0,0.0
,Bhutan,27.5142,90.4336,2020-08-17,141.0,0.0,Bhutan / ,3.0,0.0,4.428571428571429,0.0
,Bhutan,27.5142,90.4336,2020-08-18,147.0,0.0,Bhutan / ,6.0,0.0,4.857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-08-19,147.0,0.0,Bhutan / ,0.0,0.0,4.857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-08-20,153.0,0.0,Bhutan / ,6.0,0.0,3.5714285714285716,0.0
,Bhutan,27.5142,90.4336,2020-08-21,154.0,0.0,Bhutan / ,1.0,0.0,3.0,0.0
,Bhutan,27.5142,90.4336,2020-08-22,155.0,0.0,Bhutan / ,1.0,0.0,3.142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-08-23,155.0,0.0,Bhutan / ,0.0,0.0,2.4285714285714284,0.0
,Bhutan,27.5142,90.4336,2020-08-24,156.0,0.0,Bhutan / ,1.0,0.0,2.142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-08-25,173.0,0.0,Bhutan / ,17.0,0.0,3.7142857142857144,0.0
,Bhutan,27.5142,90.4336,2020-08-26,173.0,0.0,Bhutan / ,0.0,0.0,3.7142857142857144,0.0
,Bhutan,27.5142,90.4336,2020-08-27,184.0,0.0,Bhutan / ,11.0,0.0,4.428571428571429,0.0
,Bhutan,27.5142,90.4336,2020-08-28,195.0,0.0,Bhutan / ,11.0,0.0,5.857142857142857,0.0
,Bhutan,27.5142,90.4336,2020-08-29,195.0,0.0,Bhutan / ,0.0,0.0,5.714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-08-30,224.0,0.0,Bhutan / ,29.0,0.0,9.857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-08-31,225.0,0.0,Bhutan / ,1.0,0.0,9.857142857142858,0.0
,Bhutan,27.5142,90.4336,2020-09-01,227.0,0.0,Bhutan / ,2.0,0.0,7.714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-09-02,227.0,0.0,Bhutan / ,0.0,0.0,7.714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-09-03,227.0,0.0,Bhutan / ,0.0,0.0,6.142857142857143,0.0
,Bhutan,27.5142,90.4336,2020-09-04,228.0,0.0,Bhutan / ,1.0,0.0,4.714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-09-05,228.0,0.0,Bhutan / ,0.0,0.0,4.714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-09-06,228.0,0.0,Bhutan / ,0.0,0.0,0.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-09-07,233.0,0.0,Bhutan / ,5.0,0.0,1.1428571428571428,0.0
,Bhutan,27.5142,90.4336,2020-09-08,234.0,0.0,Bhutan / ,1.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-09-09,234.0,0.0,Bhutan / ,0.0,0.0,1.0,0.0
,Bhutan,27.5142,90.4336,2020-09-10,238.0,0.0,Bhutan / ,4.0,0.0,1.5714285714285714,0.0
,Bhutan,27.5142,90.4336,2020-09-11,241.0,0.0,Bhutan / ,3.0,0.0,1.8571428571428572,0.0
,Bhutan,27.5142,90.4336,2020-09-12,244.0,0.0,Bhutan / ,3.0,0.0,2.2857142857142856,0.0
,Bhutan,27.5142,90.4336,2020-09-13,245.0,0.0,Bhutan / ,1.0,0.0,2.4285714285714284,0.0
